Abriendo SIMIT...
REQUEST:  GET https://www.fcm.org.co/simit/
RESPONSE: 200 https://www.fcm.org.co/simit/
REQUEST:  GET https://www.fcm.org.co/simit/dist/css/style.css
REQUEST:  GET https://www.fcm.org.co/simit/core/config/config.js
REQUEST:  GET https://www.fcm.org.co/simit/vendors/vue/vue.min.js
REQUEST:  GET https://www.fcm.org.co/simit/dist/scripts/vendors.js
REQUEST:  GET https://www.fcm.org.co/simit/dist/scripts/core.min.js
REQUEST:  GET https://www.fcm.org.co/simit/dist/scripts/app.min.js
REQUEST:  GET https://www.fcm.org.co/simit/dist/scripts/importsbasecore.min.js
REQUEST:  GET https://www.fcm.org.co/simit/dist/scripts/plugins.min.js
RESPONSE: 200 https://www.fcm.org.co/simit/dist/css/style.css
RESPONSE: 200 https://www.fcm.org.co/simit/core/config/config.js
RESPONSE: 200 https://www.fcm.org.co/simit/vendors/vue/vue.min.js
RESPONSE: 200 https://www.fcm.org.co/simit/dist/scripts/vendors.js
REQUEST:  GET https://www.fcm.org.co/simit/dist/fonts/boxicons.woff2
RESPONSE: 200 https://www.fcm.org.co/simit/dist/scripts/importsbasecore.min.js
RESPONSE: 200 https://www.fcm.org.co/simit/dist/scripts/core.min.js
REQUEST:  GET https://www.fcm.org.co/simit/core/ajax/ajax.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/ajax/ajax.js
REQUEST:  GET https://www.fcm.org.co/simit/core/load_balancer/load_balancer.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/load_balancer/load_balancer.js
RESPONSE: 200 https://www.fcm.org.co/simit/dist/fonts/boxicons.woff2
RESPONSE: 200 https://www.fcm.org.co/simit/dist/scripts/plugins.min.js
RESPONSE: 200 https://www.fcm.org.co/simit/dist/scripts/app.min.js
REQUEST:  GET https://www.fcm.org.co/simit/core/i18n/i18n.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/i18n/i18n.js
REQUEST:  GET https://www.fcm.org.co/simit/core/ajax/ajax.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/ajax/ajax.js
REQUEST:  GET https://www.fcm.org.co/simit/core/utilidades/seguridad.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/utilidades/seguridad.js
REQUEST:  GET https://www.fcm.org.co/simit/core/servicios/servicios.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/servicios/servicios.js
REQUEST:  GET https://www.fcm.org.co/simit/core/load_balancer/load_balancer.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/load_balancer/load_balancer.js
REQUEST:  GET https://www.fcm.org.co/simit/core/seguridad/logicaSeguridad.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/seguridad/logicaSeguridad.js
REQUEST:  GET https://www.fcm.org.co/simit/core/seguridad/logicaSeguridad.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/seguridad/logicaSeguridad.js
REQUEST:  GET https://www.fcm.org.co/simit/core/seguridad/seguridadAutorizacion.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/seguridad/seguridadAutorizacion.js
REQUEST:  GET https://www.fcm.org.co/simit/core/seguridad/logicaSeguridad.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/seguridad/logicaSeguridad.js
REQUEST:  GET https://www.fcm.org.co/simit/core/celeste-plugins-admin/controllers/MainPluginControllerImpl.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/celeste-plugins-admin/controllers/MainPluginControllerImpl.js
REQUEST:  GET https://www.fcm.org.co/simit/core/celeste-plugins-admin/servicios/servicios.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/celeste-plugins-admin/servicios/servicios.js
REQUEST:  GET https://www.fcm.org.co/simit/core/load_balancer/load_balancer.js
RESPONSE: 200 https://www.fcm.org.co/simit/core/load_balancer/load_balancer.js
REQUEST:  GET https://www.fcm.org.co//simit/plugins/plugins.json?_=1776920881791
RESPONSE: 200 https://www.fcm.org.co//simit/plugins/plugins.json?_=1776920881791
REQUEST:  GET https://www.fcm.org.co//simit/plugins/plugin-simit-vue/simit-vue-frontend/i18n/messages/message_es_CO.json?_=1776920881792
